"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22","WV03"
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-04",,,,"0.00","0.0","0.0",,"57","30",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-05",,,,"0.04","0.0","0.0",,"47","43",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-06",,,,"0.00","0.0","0.0",,"50","39",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-07",,,,"0.04","0.0","0.0",,"56","35",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-08",,,,"0.00","0.0","0.0",,"59","32",,,,,,,,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-09",,,,"0.17","0.0","0.0",,"50","45",,,,,,"    1",,,,,,,"    1",,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-10",,,,"0.05","0.0","0.0",,"55","36",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-11",,,,"0.00","0.0","0.0",,"58","32",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-12",,,,"0.10","0.0","0.0",,"58","34",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-13",,,,"0.34","0.0","0.0",,"47","42",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-14",,,,"0.00","0.0","0.0",,"63","41",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-15",,,,"0.00","0.0","0.0",,"67","43",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-16",,,,"0.20","0.0","0.0",,"56","45",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-17",,,,"0.02","0.0","0.0",,"60","40",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-18",,,,"0.03","0.0","0.0",,"54","36",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-19",,,,"0.55","0.0","0.0",,"56","39",,,,,,"    1","    1",,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-04-20",,,,"0.15","0.0","0.0",,"59","47",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
